Date,Name,Year,Letterboxd URI
2025-06-12,Sonic the Hedgehog,2020,https://boxd.it/gdK8
2025-06-12,Dogtooth,2009,https://boxd.it/158K
2025-06-12,Despicable Me 2,2013,https://boxd.it/3gg0
2025-06-12,The House That Jack Built,2018,https://boxd.it/dWO4
2025-06-12,Scream 3,2000,https://boxd.it/24Ei
2025-06-12,The Purge,2013,https://boxd.it/4Xg0
2025-06-12,"O Brother, Where Art Thou?",2000,https://boxd.it/2b3I
2025-06-12,Sweeney Todd: The Demon Barber of Fleet Street,2007,https://boxd.it/1PcS
2025-06-12,8 Mile,2002,https://boxd.it/2bew
2025-06-12,Fear and Loathing in Las Vegas,1998,https://boxd.it/27Xs
2025-06-12,Twelve Monkeys,1995,https://boxd.it/2beQ
2025-06-12,Sherlock Holmes,2009,https://boxd.it/1W2A
2025-06-12,The SpongeBob SquarePants Movie,2004,https://boxd.it/1SYq
2025-06-12,Gangs of New York,2002,https://boxd.it/25FG
2025-06-12,Pokémon Detective Pikachu,2019,https://boxd.it/fVA0
2025-06-12,Hotel Transylvania,2012,https://boxd.it/2DF6
2025-06-12,The Hangover Part II,2011,https://boxd.it/PZI
2025-06-12,300,2006,https://boxd.it/28XI
2025-06-12,Saw X,2023,https://boxd.it/zUWk
2025-06-12,The Godfather Part III,1990,https://boxd.it/2aN6
2025-06-12,Halloween,2018,https://boxd.it/f0uE
2025-06-12,Minions,2015,https://boxd.it/6jCO
2025-06-12,The Trial of the Chicago 7,2020,https://boxd.it/kn3w
2025-06-12,Saw II,2005,https://boxd.it/2aRs
2025-06-12,Sleepy Hollow,1999,https://boxd.it/26u0
2025-06-12,Now You See Me 2,2016,https://boxd.it/99fw
2025-06-12,Black Adam,2022,https://boxd.it/fup0
2025-06-12,Bolt,2008,https://boxd.it/1QXg
2025-06-12,The Karate Kid,1984,https://boxd.it/27Wk
2025-06-12,Shrek Forever After,2010,https://boxd.it/1WRo
2025-06-12,American Sniper,2014,https://boxd.it/5LDy
2025-06-12,Shark Tale,2004,https://boxd.it/1VYe
2025-06-12,Chicken Run,2000,https://boxd.it/20Xg
2025-06-12,The Intern,2015,https://boxd.it/7AOE
2025-06-12,The Nun,2018,https://boxd.it/fBkw
2025-06-12,The Lorax,2012,https://boxd.it/2w9M
2025-06-12,The Wicker Man,1973,https://boxd.it/1KnG
2025-06-12,The Ballad of Buster Scruggs,2018,https://boxd.it/jB2q
2025-06-12,Scent of a Woman,1992,https://boxd.it/1YAu
2025-06-12,Cars 3,2017,https://boxd.it/7IPq
2025-06-12,The Da Vinci Code,2006,https://boxd.it/2a3i
2025-06-12,The Devil's Advocate,1997,https://boxd.it/286k
2025-06-12,Life of Brian,1979,https://boxd.it/2a4q
2025-06-12,Kung Fu Panda 3,2016,https://boxd.it/4uRQ
2025-06-12,American Pie,1999,https://boxd.it/27qy
2025-06-12,Space Jam,1996,https://boxd.it/26YO
2025-06-12,Madagascar: Escape 2 Africa,2008,https://boxd.it/1W2K
2025-06-12,Chicken Little,2005,https://boxd.it/1Xnu
2025-06-12,Ice Age: The Meltdown,2006,https://boxd.it/2wRk
2025-06-12,Paranormal Activity,2007,https://boxd.it/1yIM
2025-06-12,Alvin and the Chipmunks,2007,https://boxd.it/21E0
2025-06-12,Antichrist,2009,https://boxd.it/1Inu
2025-06-12,Saw III,2006,https://boxd.it/2aRC
2025-06-12,Liar Liar,1997,https://boxd.it/28sg
2025-06-12,The Founder,2016,https://boxd.it/9XwM
2025-06-12,Black Mirror: Bandersnatch,2018,https://boxd.it/kTDG
2025-06-12,Annabelle,2014,https://boxd.it/7l84
2025-06-12,Hannibal,2001,https://boxd.it/1XVc
2025-06-12,The Adventures of Tintin,2011,https://boxd.it/1Irc
2025-06-12,Captain Phillips,2013,https://boxd.it/3GPK
2025-06-12,Straight Outta Compton,2015,https://boxd.it/8rMc
2025-06-12,The Hangover Part III,2013,https://boxd.it/3GNY
2025-06-12,Diary of a Wimpy Kid,2010,https://boxd.it/1fUa
2025-06-12,The Babysitter,2017,https://boxd.it/eP1w
2025-06-12,Grown Ups 2,2013,https://boxd.it/3GAq
2025-06-12,Pixels,2015,https://boxd.it/7BaA
2025-06-12,Ted 2,2015,https://boxd.it/6oCY
2025-06-12,Kramer vs. Kramer,1979,https://boxd.it/h0w
2025-06-12,Rocky II,1979,https://boxd.it/28Ua
2025-06-12,Poison,2023,https://boxd.it/Is7Q
2025-06-12,Isle of Dogs,2018,https://boxd.it/dZrW
2025-06-12,Fear Street: 1666,2021,https://boxd.it/lLBE
2025-06-12,Fear Street: 1978,2021,https://boxd.it/lLBu
2025-06-12,The Rat Catcher,2023,https://boxd.it/Is8a
2025-06-12,Not Another Teen Movie,2001,https://boxd.it/1TWq
2025-06-12,The Pale Blue Eye,2022,https://boxd.it/u8tk
2025-06-12,Big Time Adolescence,2019,https://boxd.it/jFke
2025-06-12,Apostle,2018,https://boxd.it/f0so
2025-06-12,Night Teeth,2021,https://boxd.it/oW5K
2025-06-12,The Purge: Anarchy,2014,https://boxd.it/71zk
2025-06-12,The Purge: Election Year,2016,https://boxd.it/ae5I
2025-06-12,The Rite,2011,https://boxd.it/J7q
2025-06-12,The Power of the Dog,2021,https://boxd.it/m99E
2025-06-12,Buster's Mal Heart,2016,https://boxd.it/cIAg
2025-06-12,In Time,2011,https://boxd.it/FPS
2025-06-12,Unfaithful,2002,https://boxd.it/275A
2025-06-12,Gerald's Game,2017,https://boxd.it/buKa
2025-06-12,Neighbors,2014,https://boxd.it/5Txe
2025-06-12,EuroTrip,2004,https://boxd.it/1YTQ
2025-06-12,The Ninth Gate,1999,https://boxd.it/29YM
2025-06-12,Biggie: I Got a Story to Tell,2021,https://boxd.it/tZR8
2025-06-12,Rolling Thunder Revue: A Bob Dylan Story by Martin Scorsese,2019,https://boxd.it/l5DI
2025-06-12,Freedom Writers,2007,https://boxd.it/28p2
2025-06-12,Angels & Demons,2009,https://boxd.it/1Q9K
2025-06-12,Inferno,2016,https://boxd.it/6dMS
2025-06-12,Scary Movie 2,2001,https://boxd.it/24Cw
2025-06-12,Scary Movie 3,2003,https://boxd.it/24Be
2025-06-12,Bright,2017,https://boxd.it/e1H8
2025-06-12,Clerks,1994,https://boxd.it/2706
2025-06-12,Wild Strawberries,1957,https://boxd.it/29ZU
2025-06-12,Dead Ringers,1988,https://boxd.it/1Yqk
2025-06-12,The Doom Generation,1995,https://boxd.it/1PVe
2025-06-12,Margin Call,2011,https://boxd.it/CJ8
2025-06-12,The Passion of the Christ,2004,https://boxd.it/29ZK
2025-06-12,Escape from Alcatraz,1979,https://boxd.it/1Vwk
2025-06-12,American Made,2017,https://boxd.it/bb66
2025-06-12,The Substance,2024,https://boxd.it/zanS
2025-06-12,Suspiria,1977,https://boxd.it/1SNW
2025-06-12,Diary of a Wimpy Kid: Dog Days,2012,https://boxd.it/2TG0
2025-06-12,A Goofy Movie,1995,https://boxd.it/1Lwu
2025-06-12,The Sandlot,1993,https://boxd.it/1TDy
2025-06-12,The Dictator,2012,https://boxd.it/2DEW
2025-06-12,Madagascar 3: Europe's Most Wanted,2012,https://boxd.it/2NF6
2025-06-12,Tinker Bell,2008,https://boxd.it/1QEy
2025-06-12,Stitch! The Movie,2003,https://boxd.it/1LYo
2025-06-12,Inside Llewyn Davis,2013,https://boxd.it/34Ro
2025-06-13,Interstellar,2014,https://boxd.it/4VZ8
2025-06-14,The Hunchback of Notre Dame,1996,https://boxd.it/1VZQ
2025-06-14,Tarzan,1999,https://boxd.it/18YO
